el	определённый артикль, м.р.
recibir	получать; принимать
recordar	помнить; напоминать
terminar	заканчивать
permitir	позволять
aparecer	появляться
conseguir	добывать; добиваться; суметь
comenzar	начинать
servir	служить; подавать; быть полезным
sacar	вынимать; получать; фотографировать
necesitar	нуждаться
mantener	поддерживать; сохранять
resultar	оказываться; получаться
leer	читать
caer	падать; нравиться
cambiar	менять(ся)
presentar	представлять; предъявлять
crear	создавать
abrir	открывать
considerar	считать; рассматривать
oír	слышать
acabar	заканчивать; только что сделать
ganar	выигрывать; зарабатывать
formar	образовывать; формировать
traer	приносить; привозить
partir	уезжать; делить; отправляться
morir	умирать
aceptar	принимать; соглашаться
realizar	осуществлять; проводить
suponer	предполагать; означать
comprender	понимать; включать
lograr	добиваться; суметь
explicar	объяснять
preguntar	спрашивать
tocar	трогать; играть; выпадать очередь
reconocer	узнавать; признавать
estudiar	учиться; изучать
alcanzar	достигать; хватать; догонять
nacer	рождаться
dirigir	руководить; направлять
correr	бежать
utilizar	использовать
pagar	платить
ayudar	помогать
gustar	нравиться
jugar	играть
escuchar	слушать
cumplir	выполнять; исполняться (о возрасте)
ofrecer	предлагать
descubrir	обнаруживать; открывать
levantar	поднимать; вставать
intentar	пытаться
usar	использовать; носить
decidir	решать
repetir	повторять
comer	есть
beber	пить
comprar	покупать
vender	продавать
cerrar	закрывать
dormir	спать
caminar	ходить пешком
viajar	путешествовать
cocinar	готовить
aprender	учить; узнавать
enseñar	учить; показывать
enviar	отправлять
contestar	отвечать
elegir	выбирать
olvidar	забывать
preparar	готовить; подготавливать
limpiar	чистить; убирать
lavar	мыть; стирать
manejar	водить; управлять
conducir	водить; вести
subir	подниматься; загружать
bajar	спускаться; снижать
romper	ломать
arreglar	чинить; приводить в порядок
encender	включать; зажигать
apagar	выключать; гасить
la persona	человек; лицо
la casa	дом
el mundo	мир
el lugar	место
el país	страна
el momento	момент
la forma	форма; способ
la mujer	женщина; жена
el niño	ребёнок; мальчик
la familia	семья
la mano	рука; кисть
el problema	проблема
el caso	случай; дело
el punto	точка; пункт; момент
el gobierno	правительство; управление
la ciudad	город
el nombre	имя; название
el agua	вода
la noche	ночь; вечер
la madre	мать
el padre	отец; родитель
el amigo	друг
el dinero	деньги
la historia	история; рассказ
la calle	улица
la comida	еда; приём пищи
la hora	час; время
la palabra	слово
la escuela	школа
la gente	люди
la verdad	правда
la semana	неделя
el libro	книга
la puerta	дверь
la mañana	утро; завтра
el hijo	сын; ребёнок
la cabeza	голова
el lado	сторона; бок
el señor	господин; мужчина
el fin	конец; цель
el mes	месяц
el tipo	тип; вид; парень
el ejemplo	пример
el tema	тема; вопрос
el grupo	группа
la razón	причина; правота
la idea	идея
el cuerpo	тело
la información	информация
el ojo	глаз
el servicio	услуга; обслуживание; служба
el minuto	минута
la mesa	стол
el equipo	команда; оборудование
la realidad	реальность
la educación	образование; воспитание
la voz	голос
el resultado	результат
padres	родители
la oficina	офис; кабинет
el cambio	изменение; сдача; обмен
el proceso	процесс
la música	музыка
el juego	игра
el mercado	рынок
el sentido	смысл; чувство; направление
el centro	центр
el programa	программа
la pregunta	вопрос
el trabajador	работник; трудолюбивый
la empresa	компания; предприятие
el número	число; номер
el segundo	секунда; второй
la cuenta	счёт; аккаунт; расчёт
la calidad	качество
el calor	жара; тепло
el aire	воздух
el papel	бумага; роль
el interés	интерес; процент
la película	фильм
la noticia	новость
la libertad	свобода
el derecho	право; юриспруденция
el sistema	система
el carro	автомобиль
el coche	автомобиль (понятно, чаще Испания)
la computadora	компьютер
el teléfono	телефон
el mensaje	сообщение
la foto	фотография
el internet	интернет
el archivo	файл; архив
la contraseña	пароль
la tienda	магазин
el precio	цена
la tarjeta	карта; карточка
el efectivo	наличные; эффективный
el banco	банк; скамья
el restaurante	ресторан
el café	кофе; кафе
el pan	хлеб
la leche	молоко
la carne	мясо
el pollo	курица; цыплёнок
el arroz	рис
la fruta	фрукт; фрукты
el desayuno	завтрак
el almuerzo	обед
la cena	ужин
el cuarto	комната; четверть; четвёртый
la habitación	комната; номер
el baño	ванная; туалет
la cocina	кухня; кухня как традиция
la cama	кровать
la ropa	одежда
el zapato	туфля; ботинок
la llave	ключ
la ventana	окно
la luz	свет; лампа
la salud	здоровье; «будь здоров»
el doctor	врач; доктор
el hospital	больница
el dolor	боль
la medicina	лекарство; медицина
la cita	встреча; запись; цитата
el viaje	поездка; путешествие
el avión	самолёт
el tren	поезд
el autobús	автобус
la estación	станция; вокзал; сезон
el aeropuerto	аэропорт
el camino	дорога; путь
el mapa	карта
el trabajo	работа; труд
la reunión	встреча; собрание
el proyecto	проект
el jefe	начальник
el empleado	сотрудник; занятый, применённый
la clase	занятие; класс; вид
la universidad	университет
el idioma	язык
la respuesta	ответ
la fiesta	праздник; вечеринка
el partido	матч; партия
el parque	парк
la playa	пляж
el mar	море
tiempo libre	свободное время
bueno	хороший
malo	плохой
mejor	лучший; лучше
peor	худший; хуже
mayor	больший; старший
menor	меньший; младший; несовершеннолетний
importante	важный
posible	возможный
necesario	необходимый
diferente	другой; отличающийся
igual	одинаковый; всё равно; так же
fácil	лёгкий; простой
difícil	трудный
claro	ясный; светлый; конечно
seguro	уверенный; безопасный; страховка
cierto	определённый; верный
largo	длинный
corto	короткий
alto	высокий; громкий
bajo	низкий; под
rápido	быстрый; быстро
lento	медленный; медленно
fuerte	сильный; крепкий; громко
joven	молодой; молодой человек
viejo	старый
pequeño	маленький
bonito	красивый; милый
feliz	счастливый
triste	грустный
cansado	уставший
ocupado	занятый
libre	свободный; свободно
listo	готовый; сообразительный
abierto	открытый
cerrado	закрытый
caliente	горячий; тёплый
frío	холодный; холод
limpio	чистый
caro	дорогой
barato	дешёвый
lleno	полный; заполненный
cerca	близко
lejos	далеко
aquí	здесь; сюда
allí	там
ahí	там; вот там
hoy	сегодня
ayer	вчера
tarde	поздно; вечер
temprano	рано
nunca	никогда
casi	почти
luego	потом; затем
antes	раньше; до
todavía	ещё; всё ещё
quizá	возможно
pronto	скоро; быстро
juntos	вместе
afuera	снаружи; наружу
arriba	наверху; вверх
abajo	внизу; вниз
adelante	вперёд; проходите
atrás	назад; позади
despacio	медленно
demasiado	слишком; слишком много
gracias	спасибо
por favor	пожалуйста
de nada	не за что
perdón	простите; прощение
disculpe	извините (вежл.)
buenos días	доброе утро; добрый день
buenas tardes	добрый день; добрый вечер
buenas noches	добрый вечер; спокойной ночи
hola	привет; здравствуйте
adiós	до свидания; прощай
hasta luego	до скорого; увидимся позже
nos vemos	увидимся
¿cómo estás?	как ты?
¿qué tal?	как дела?; как прошло?
mucho gusto	очень приятно
encantado	приятно познакомиться
¿cómo te llamas?	как тебя зовут?
me llamo...	меня зовут...
¿de dónde eres?	откуда ты?
soy de...	я из...
no entiendo	я не понимаю
no sé	я не знаю
¿puede repetir?	можете повторить?
más despacio, por favor	помедленнее, пожалуйста
¿qué significa...?	что значит...?
¿cómo se dice...?	как сказать...?
¿cuánto cuesta?	сколько стоит?
quisiera...	я хотел(а) бы...
me gustaría...	мне бы хотелось...
necesito...	мне нужно...
tener que + infinitivo	быть вынужденным; нужно
hay que + infinitivo	нужно; следует
se puede	можно
no se puede	нельзя
poder + infinitivo	мочь сделать
querer + infinitivo	хотеть сделать
ir a + infinitivo	собираться сделать; ближайшее будущее
estar + gerundio	быть в процессе действия
acabar de + infinitivo	только что сделать
volver a + infinitivo	сделать снова
dejar de + infinitivo	перестать делать
tratar de + infinitivo	стараться; пытаться
tener ganas de	хотеть; иметь желание
tener miedo	бояться
tener razón	быть правым
tener hambre	быть голодным
tener sed	хотеть пить
tener sueño	хотеть спать
tener frío / calor	мёрзнуть / чувствовать жар
hacer + tiempo	стоять (о погоде)
hay	есть; имеется
hace... que	уже столько-то времени
desde hace	на протяжении; уже
estar de acuerdo	быть согласным
no importa	неважно; ничего страшного
da igual	всё равно; без разницы
depende	зависит
claro que sí	конечно; разумеется
creo que	я думаю, что
me parece que	мне кажется, что
es que	дело в том, что; просто
lo que	то, что
lo mismo	то же самое
por eso	поэтому
además	кроме того; к тому же
sin embargo	однако
aunque	хотя; даже если
mientras	пока; в то время как
por ejemplo	например
en general	в целом
en serio	серьёзно; правда?
a veces	иногда
todos los días	каждый день
otra vez	снова; ещё раз
a tiempo	вовремя
Quiero {infinitivo}.	Я хочу {действие}.
Me gustaría {sustantivo / infinitivo}.	Мне хотелось бы {что-то / сделать что-то}.
Voy a {infinitivo}.	Я собираюсь {сделать}.
Pienso {infinitivo}.	Я намерен {сделать}.
Puedo {infinitivo}.	Я могу {сделать}.
Tengo que {infinitivo}.	Мне нужно {сделать}.
Hay que {infinitivo}.	Нужно {сделать}.
Necesito {sustantivo / infinitivo}.	Мне нужно {что-то / сделать что-то}.
¿Se puede {infinitivo} aquí?	Здесь можно {сделать}?
Hay {sustantivo}.	Есть {что-то}.
{persona / cosa} está en {lugar}.	{Кто-то / что-то} находится {где-то}.
{lugar} queda cerca / lejos de {punto}.	{Место} находится близко / далеко от {точки}.
Estoy {gerundio}.	Я сейчас {делаю}.
Me gusta / gustan {sustantivo / infinitivo}.	Мне нравится / нравятся {что-то / действие}.
Creo que {frase}.	Я думаю, что {мысль}.
Me parece {adjetivo} / que {frase}.	Мне кажется {каким-то} / что {мысль}.
Estoy de acuerdo con {persona / idea}.	Я согласен с {человеком / идеей}.
{persona} tiene razón.	{Человек} прав.
¿Puedes {infinitivo}, por favor?	Можешь {сделать}, пожалуйста?
Quisiera {sustantivo / infinitivo}.	Я хотел(а) бы {что-то / сделать}.
¿Dónde está {lugar / cosa}?	Где находится {место / предмет}?
¿Cuánto cuesta {sustantivo}?	Сколько стоит {предмет}?
¿Qué significa {palabra}?	Что означает {слово}?
¿Cómo se dice {expresión} en español?	Как сказать {выражение} по-испански?
{imperativo}, por favor.	{Сделайте}, пожалуйста.
No {imperativo negativo}.	Не {делайте}.
Acabo de {infinitivo}.	Я только что {сделал}.
Vuelvo a {infinitivo}.	Я снова {делаю}.
Dejo de {infinitivo}.	Я перестаю {делать}.
{presente} desde hace {periodo}.	{Действие продолжается} уже {период}.
Si {presente}, {presente / futuro}.	Если {условие}, {результат}.
{A} es más / menos {adjetivo} que {B}.	{A} более / менее {какой-то}, чем {B}.
